origin,model_year,mpg
europe,70,25.2
europe,71,28.75
europe,72,22.0
europe,73,24.0
europe,74,27.0
europe,75,24.5
europe,76,24.25
europe,77,29.25
europe,78,24.95
europe,79,30.45
europe,80,37.28888888888889
europe,81,31.575
europe,82,40.0
japan,70,25.5
japan,71,29.5
japan,72,24.2
japan,73,20.0
japan,74,29.333333333333332
japan,75,27.5
japan,76,28.0
japan,77,27.416666666666668
japan,78,29.687499999999996
japan,79,32.95
japan,80,35.4
japan,81,32.95833333333333
japan,82,34.888888888888886
usa,70,15.272727272727273
usa,71,18.1
usa,72,16.27777777777778
usa,73,15.03448275862069
usa,74,18.333333333333332
usa,75,17.55
usa,76,19.431818181818183
usa,77,20.72222222222222
usa,78,21.772727272727273
usa,79,23.47826086956522
usa,80,25.914285714285715
usa,81,27.530769230769234
usa,82,29.45
